"id","glytoucan","taxon","resource","resource_id"
"2741","G83179DA","82095","carbbank","32233"
"269","G09183JD","82095","carbbank","32234"
"2741","G83179DA","82095","carbbank","32234"
"1937","G74556OQ","82095","carbbank","32235"
"2741","G83179DA","82095","carbbank","32235"
"269","G09183JD","82095","carbbank","32236"
"2741","G83179DA","82095","carbbank","32236"
"269","G09183JD","82095","carbbank","32237"
"6766","G67636XI","82095","carbbank","32237"
"2309","G64814RA","82095","carbbank","32238"
"2741","G83179DA","82095","carbbank","32238"
"269","G09183JD","82095","carbbank","32239"
"6766","G67636XI","82095","carbbank","32239"
"56","G71142DF","82095","carbbank","32240"
"2741","G83179DA","82095","carbbank","32240"
"7309","G93573CR","82095","carbbank","32241"
"2741","G83179DA","82095","carbbank","32241"
"3898","G90970US","82095","carbbank","32242"
"2741","G83179DA","82095","carbbank","32242"
"56","G71142DF","82095","carbbank","32243"
"2741","G83179DA","82095","carbbank","32243"
"56","G71142DF","82095","carbbank","32244"
"6766","G67636XI","82095","carbbank","32244"
"4087","G45582OS","287","carbbank","3225"
"12253","G38127KI","174663","carbbank","32276"
"2465","G49118ZT","10114","carbbank","323"
"16371","G08839PU","9606","carbbank","32362"
"15518","G81167ZQ","9913","carbbank","32364"
"940","G09126MW","9606","carbbank","32365"
"1656","G76081OI","9606","carbbank","32366"
"1536","G99909LZ","9606","carbbank","32367"
"1655","G08066KX","9606","carbbank","32368"
"1950","G39615UL","9606","carbbank","32369"
"7921","G33866SM","9606","carbbank","32370"
"521","G18132YR","9606","carbbank","32371"
"508","G31601FB","9606","carbbank","32372"
"11376","G82987BA","9606","carbbank","32373"
"316","G58645HA","9606","carbbank","32374"
"506","G15144TI","9606","carbbank","32375"
"15872","G36006TS","9606","carbbank","32379"
"4445","G56299XO","10029","carbbank","32381"
"2979","G65191ST","10029","carbbank","32382"
"16372","G33999HW","23211","carbbank","32386"
"16372","G33999HW","3750","carbbank","32386"
"16372","G33999HW","3749","carbbank","32386"
"651","G29570QA","63673","carbbank","324"
"6133","G06624ZC","9606","carbbank","32442"
"11169","G40413JC","9606","carbbank","32443"
"6138","G23425OX","9606","carbbank","32444"
"11170","G37861OJ","9606","carbbank","32445"
"6145","G50215WR","9606","carbbank","32446"
"11171","G97436XI","9606","carbbank","32447"
"11168","G94850KK","9606","carbbank","32448"
"2239","G82740LG","6563","carbbank","3248"
"124","G48558GR","10114","carbbank","32523"
"143","G91532KA","10114","carbbank","32524"
"2351","G11485ID","10114","carbbank","32525"
"3075","G72894SZ","10114","carbbank","32526"
"56","G71142DF","40245","carbbank","32527"
"56","G71142DF","7705","carbbank","32527"
"681","G39587YE","6395","carbbank","32528"
"146","G91237TK","9606","carbbank","32529"
"6369","G21939WM","4932","carbbank","32555"
"146","G91237TK","9913","carbbank","32556"
